variant,layer,projection,frob_E,spec_E_check,frob_W,ratio
m2b,17,o_proj,1.4687961339950562,1.4687961339950562,63.41203689575195,0.02316273385776467
m2b,17,down_proj,2.1188135147094727,2.1188135147094727,82.90483856201172,0.025557175569730205
m2b,18,o_proj,1.0663765668869019,1.0663765668869019,55.12913513183594,0.019343248616847816
m2b,18,down_proj,1.7269705533981323,1.7269705533981323,75.4670639038086,0.022883764970628166
m2b,19,o_proj,1.1585675477981567,1.1585675477981567,57.19216537475586,0.020257452051457712
m2b,19,down_proj,1.696291208267212,1.696291208267212,73.48778533935547,0.023082627955571065
m2b,20,o_proj,1.138002634048462,1.138002634048462,57.4205322265625,0.01981874061282258
m2b,20,down_proj,1.7497291564941406,1.7497291564941406,73.04698944091797,0.02395347391981651
m2b,21,o_proj,1.1620056629180908,1.1620056629180908,52.244346618652344,0.022241749359025002
m2b,21,down_proj,1.6678617000579834,1.6678617000579834,72.85941314697266,0.022891506093983462
m2b,22,o_proj,1.145822286605835,1.145822286605835,56.74308776855469,0.02019316064151192
m2b,22,down_proj,1.8784165382385254,1.8784165382385254,72.08293914794922,0.02605910025925971
m2b,23,o_proj,1.3686895370483398,1.3686895370483398,62.50578308105469,0.021897006478160345
m2b,23,down_proj,1.8910578489303589,1.8910578489303589,74.24793243408203,0.025469501802077205
m2b,24,o_proj,1.1629672050476074,1.1629672050476074,54.16752243041992,0.02146982458984495
m2b,24,down_proj,2.068683385848999,2.068683385848999,85.16482543945312,0.02429034962702652
m2b,25,o_proj,1.1910576820373535,1.1910576820373535,58.29996109008789,0.020429819501883956
m2b,25,down_proj,1.7817423343658447,1.7817423343658447,83.83642578125,0.02125260371923359
m2b,26,o_proj,1.24746835231781,1.24746835231781,58.45262145996094,0.021341529621084744
m2b,26,down_proj,1.6985745429992676,1.6985745429992676,83.2928466796875,0.020392802151802267
m2b,27,o_proj,1.353824496269226,1.353824496269226,57.23421096801758,0.02365411304483156
m2b,27,down_proj,1.6534253358840942,1.6534253358840942,80.03752136230469,0.020658127684883665
m2b,28,o_proj,1.431054949760437,1.431054949760437,54.24738311767578,0.02638016559538237
m2b,28,down_proj,1.724664330482483,1.724664330482483,77.897705078125,0.02214011733404452
m2b,29,o_proj,1.634899377822876,1.634899377822876,59.80091857910156,0.027339034527710734
m2b,29,down_proj,1.9294146299362183,1.9294146299362183,78.30254364013672,0.024640510259838214
m2b,30,o_proj,1.3876475095748901,1.3876475095748901,55.84449005126953,0.024848422974243712
m2b,30,down_proj,1.880146861076355,1.880146861076355,87.99722290039062,0.02136597950601926
m2b,31,o_proj,1.704859733581543,1.704859733581543,56.45244216918945,0.03019992879089329
m2b,31,down_proj,1.8175888061523438,1.8175888061523438,88.03897094726562,0.02064527545694576
m2b,32,o_proj,1.4773238897323608,1.4773238897323608,58.05116653442383,0.025448651214550887
m2b,32,down_proj,1.7068337202072144,1.7068337202072144,87.92033386230469,0.019413412634218953
m2b,33,o_proj,1.8182038068771362,1.8182038068771362,56.562347412109375,0.032145126397068145
m2b,33,down_proj,1.8542959690093994,1.8542959690093994,93.35466766357422,0.019862916503455365
